state,end,value,type
Alabama,1/8/2000,16782,h
Alabama,1/15/2000,10138,h
Alabama,1/22/2000,4761,h
Alabama,1/29/2000,5868,h
Alabama,2/5/2000,5768,h
Alabama,2/12/2000,4598,h
Alabama,2/19/2000,4441,h
Alabama,2/26/2000,4197,h
Alabama,3/4/2000,3585,h
Alabama,3/11/2000,3788,h
Alabama,3/18/2000,3810,h
Alabama,3/25/2000,3652,h
Alabama,4/1/2000,6473,h
Alabama,4/8/2000,3927,h
Alabama,4/15/2000,4054,h
Alabama,4/22/2000,3384,h
Alabama,4/29/2000,4550,h
Alabama,5/6/2000,3654,h
Alabama,5/13/2000,4251,h
Alabama,5/20/2000,4895,h
Alabama,5/27/2000,4838,h
Alabama,6/3/2000,3989,h
Alabama,6/10/2000,4469,h
Alabama,6/17/2000,4477,h
Alabama,6/24/2000,3866,h
Alabama,7/1/2000,4702,h
Alabama,7/8/2000,12321,h
Alabama,7/15/2000,8843,h
Alabama,7/22/2000,6841,h
Alabama,7/29/2000,6072,h
Alabama,8/5/2000,4775,h
Alabama,8/12/2000,4889,h
Alabama,8/19/2000,4979,h
Alabama,8/26/2000,4590,h
Alabama,9/2/2000,4976,h
Alabama,9/9/2000,5119,h
Alabama,9/16/2000,4294,h
Alabama,9/23/2000,4683,h
Alabama,9/30/2000,6052,h
Alabama,10/7/2000,5363,h
Alabama,10/14/2000,5654,h
Alabama,10/21/2000,5205,h
Alabama,10/28/2000,5926,h
Alabama,11/4/2000,4823,h
Alabama,11/11/2000,8487,h
Alabama,11/18/2000,4284,h
Alabama,11/25/2000,8903,h
Alabama,12/2/2000,7418,h
Alabama,12/9/2000,5477,h
Alabama,12/16/2000,6788,h
Alabama,12/23/2000,9483,h
Alabama,12/30/2000,13752,h
Alabama,1/6/2001,17570,h
Alabama,1/13/2001,15076,h
Alabama,1/20/2001,8331,h
Alabama,1/27/2001,8056,h
Alabama,2/3/2001,6895,h
Alabama,2/10/2001,5217,h
Alabama,2/17/2001,7079,h
Alabama,2/24/2001,5787,h
Alabama,3/3/2001,7928,h
Alabama,3/10/2001,5426,h
Alabama,3/17/2001,4626,h
Alabama,3/24/2001,5367,h
Alabama,3/31/2001,10372,h
Alabama,4/7/2001,5378,h
Alabama,4/14/2001,4613,h
